POAexemptCode,Description
Y37.311A,"Military operations involving gasoline bomb, civilian, initial encounter"
Y37.311D,"Military operations involving gasoline bomb, civilian, subsequent encounter"
Y37.311S,"Military operations involving gasoline bomb, civilian, sequela"
Y37.320A,"Military operations involving incendiary bullet, military personnel, initial encounter"
Y37.320D,"Military operations involving incendiary bullet, military personnel, subsequent encounter"
Y37.320S,"Military operations involving incendiary bullet, military personnel, sequela"
Y37.321A,"Military operations involving incendiary bullet, civilian, initial encounter"
Y37.321D,"Military operations involving incendiary bullet, civilian, subsequent encounter"
Y37.321S,"Military operations involving incendiary bullet, civilian, sequela"
Y37.330A,"Military operations involving flamethrower, military personnel, initial encounter"
Y37.330D,"Military operations involving flamethrower, military personnel, subsequent encounter"
Y37.330S,"Military operations involving flamethrower, military personnel, sequela"
Y37.331A,"Military operations involving flamethrower, civilian, initial encounter"
Y37.331D,"Military operations involving flamethrower, civilian, subsequent encounter"
Y37.331S,"Military operations involving flamethrower, civilian, sequela"
Y37.390A,"Military operations involving other fires, conflagrations and hot substances, military personnel, initial encounter"
Y37.390D,"Military operations involving other fires, conflagrations and hot substances, military personnel, subsequent encounter"
Y37.390S,"Military operations involving other fires, conflagrations and hot substances, military personnel, sequela"
Y37.391A,"Military operations involving other fires, conflagrations and hot substances, civilian, initial encounter"
Y37.391D,"Military operations involving other fires, conflagrations and hot substances, civilian, subsequent encounter"
Y37.391S,"Military operations involving other fires, conflagrations and hot substances, civilian, sequela"
Y37.410A,"Military operations involving rubber bullets, military personnel, initial encounter"
Y37.410D,"Military operations involving rubber bullets, military personnel, subsequent encounter"
Y37.410S,"Military operations involving rubber bullets, military personnel, sequela"
Y37.411A,"Military operations involving rubber bullets, civilian, initial encounter"
Y37.411D,"Military operations involving rubber bullets, civilian, subsequent encounter"
Y37.411S,"Military operations involving rubber bullets, civilian, sequela"
Y37.420A,"Military operations involving firearms pellets, military personnel, initial encounter"
Y37.420D,"Military operations involving firearms pellets, military personnel, subsequent encounter"
Y37.420S,"Military operations involving firearms pellets, military personnel, sequela"
Y37.421A,"Military operations involving firearms pellets, civilian, initial encounter"
Y37.421D,"Military operations involving firearms pellets, civilian, subsequent encounter"
Y37.421S,"Military operations involving firearms pellets, civilian, sequela"
Y37.430A,"Military operations involving other firearms discharge, military personnel, initial encounter"
Y37.430D,"Military operations involving other firearms discharge, military personnel, subsequent encounter"
Y37.430S,"Military operations involving other firearms discharge, military personnel, sequela"
Y37.431A,"Military operations involving other firearms discharge, civilian, initial encounter"
Y37.431D,"Military operations involving other firearms discharge, civilian, subsequent encounter"
Y37.431S,"Military operations involving other firearms discharge, civilian, sequela"
Y37.440A,"Military operations involving unarmed hand to hand combat, military personnel, initial encounter"
Y37.440D,"Military operations involving unarmed hand to hand combat, military personnel, subsequent encounter"
Y37.440S,"Military operations involving unarmed hand to hand combat, military personnel, sequela"
Y37.441A,"Military operations involving unarmed hand to hand combat, civilian, initial encounter"
Y37.441D,"Military operations involving unarmed hand to hand combat, civilian, subsequent encounter"
Y37.441S,"Military operations involving unarmed hand to hand combat, civilian, sequela"
Y37.450A,"Military operations involving combat using blunt or piercing object, military personnel, initial encounter"
Y37.450D,"Military operations involving combat using blunt or piercing object, military personnel, subsequent encounter"
Y37.450S,"Military operations involving combat using blunt or piercing object, military personnel, sequela"
Y37.451A,"Military operations involving combat using blunt or piercing object, civilian, initial encounter"
Y37.451D,"Military operations involving combat using blunt or piercing object, civilian, subsequent encounter"
Y37.451S,"Military operations involving combat using blunt or piercing object, civilian, sequela"
Y37.460A,"Military operations involving intentional restriction of air and airway, military personnel, initial encounter"
Y37.460D,"Military operations involving intentional restriction of air and airway, military personnel, subsequent encounter"
Y37.460S,"Military operations involving intentional restriction of air and airway, military personnel, sequela"
Y37.461A,"Military operations involving intentional restriction of air and airway, civilian, initial encounter"
Y37.461D,"Military operations involving intentional restriction of air and airway, civilian, subsequent encounter"
Y37.461S,"Military operations involving intentional restriction of air and airway, civilian, sequela"
Y37.470A,"Military operations involving unintentional restriction of air and airway, military personnel, initial encounter"
Y37.470D,"Military operations involving unintentional restriction of air and airway, military personnel, subsequent encounter"
Y37.470S,"Military operations involving unintentional restriction of air and airway, military personnel, sequela"
Y37.471A,"Military operations involving unintentional restriction of air and airway, civilian, initial encounter"
Y37.471D,"Military operations involving unintentional restriction of air and airway, civilian, subsequent encounter"
Y37.471S,"Military operations involving unintentional restriction of air and airway, civilian, sequela"
Y37.490A,"Military operations involving other forms of conventional warfare, military personnel, initial encounter"
Y37.490D,"Military operations involving other forms of conventional warfare, military personnel, subsequent encounter"
Y37.490S,"Military operations involving other forms of conventional warfare, military personnel, sequela"
Y37.491A,"Military operations involving other forms of conventional warfare, civilian, initial encounter"
Y37.491D,"Military operations involving other forms of conventional warfare, civilian, subsequent encounter"
Y37.491S,"Military operations involving other forms of conventional warfare, civilian, sequela"
Y37.500A,"Military operations involving unspecified effect of nuclear weapon, military personnel, initial encounter"
Y37.500D,"Military operations involving unspecified effect of nuclear weapon, military personnel, subsequent encounter"
Y37.500S,"Military operations involving unspecified effect of nuclear weapon, military personnel, sequela"
Y37.501A,"Military operations involving unspecified effect of nuclear weapon, civilian, initial encounter"
Y37.501D,"Military operations involving unspecified effect of nuclear weapon, civilian, subsequent encounter"
Y37.501S,"Military operations involving unspecified effect of nuclear weapon, civilian, sequela"
Y37.510A,"Military operations involving direct blast effect of nuclear weapon, military personnel, initial encounter"
Y37.510D,"Military operations involving direct blast effect of nuclear weapon, military personnel, subsequent encounter"
Y37.510S,"Military operations involving direct blast effect of nuclear weapon, military personnel, sequela"
Y37.511A,"Military operations involving direct blast effect of nuclear weapon, civilian, initial encounter"
Y37.511D,"Military operations involving direct blast effect of nuclear weapon, civilian, subsequent encounter"
Y37.511S,"Military operations involving direct blast effect of nuclear weapon, civilian, sequela"
Y37.520A,"Military operations involving indirect blast effect of nuclear weapon, military personnel, initial encounter"
Y37.520D,"Military operations involving indirect blast effect of nuclear weapon, military personnel, subsequent encounter"
Y37.520S,"Military operations involving indirect blast effect of nuclear weapon, military personnel, sequela"
Y37.521A,"Military operations involving indirect blast effect of nuclear weapon, civilian, initial encounter"
Y37.521D,"Military operations involving indirect blast effect of nuclear weapon, civilian, subsequent encounter"
Y37.521S,"Military operations involving indirect blast effect of nuclear weapon, civilian, sequela"
Y37.530A,"Military operations involving thermal radiation effect of nuclear weapon, military personnel, initial encounter"
Y37.530D,"Military operations involving thermal radiation effect of nuclear weapon, military personnel, subsequent encounter"
Y37.530S,"Military operations involving thermal radiation effect of nuclear weapon, military personnel, sequela"
Y37.531A,"Military operations involving thermal radiation effect of nuclear weapon, civilian, initial encounter"
Y37.531D,"Military operations involving thermal radiation effect of nuclear weapon, civilian, subsequent encounter"
Y37.531S,"Military operations involving thermal radiation effect of nuclear weapon, civilian, sequela"
Y37.540A,"Military operation involving nuclear radiation effects of nuclear weapon, military personnel, initial encounter"
Y37.540D,"Military operation involving nuclear radiation effects of nuclear weapon, military personnel, subsequent encounter"
Y37.540S,"Military operation involving nuclear radiation effects of nuclear weapon, military personnel, sequela"
Y37.541A,"Military operation involving nuclear radiation effects of nuclear weapon, civilian, initial encounter"
Y37.541D,"Military operation involving nuclear radiation effects of nuclear weapon, civilian, subsequent encounter"
Y37.541S,"Military operation involving nuclear radiation effects of nuclear weapon, civilian, sequela"
Y37.590A,"Military operation involving other effects of nuclear weapons, military personnel, initial encounter"
Y37.590D,"Military operation involving other effects of nuclear weapons, military personnel, subsequent encounter"
Y37.590S,"Military operation involving other effects of nuclear weapons, military personnel, sequela"
Y37.591A,"Military operation involving other effects of nuclear weapons, civilian, initial encounter"
Y37.591D,"Military operation involving other effects of nuclear weapons, civilian, subsequent encounter"
Y37.591S,"Military operation involving other effects of nuclear weapons, civilian, sequela"
Y37.6X0A,"Military operations involving biological weapons, military personnel, initial encounter"
Y37.6X0D,"Military operations involving biological weapons, military personnel, subsequent encounter"
Y37.6X0S,"Military operations involving biological weapons, military personnel, sequela"
Y37.6X1A,"Military operations involving biological weapons, civilian, initial encounter"
Y37.6X1D,"Military operations involving biological weapons, civilian, subsequent encounter"
Y37.6X1S,"Military operations involving biological weapons, civilian, sequela"
Y37.7X0A,"Military operations involving chemical weapons and other forms of unconventional warfare, military personnel, initial encounter"
Y37.7X0D,"Military operations involving chemical weapons and other forms of unconventional warfare, military personnel, subsequent encounter"
Y37.7X0S,"Military operations involving chemical weapons and other forms of unconventional warfare, military personnel, sequela"
Y37.7X1A,"Military operations involving chemical weapons and other forms of unconventional warfare, civilian, initial encounter"
Y37.7X1D,"Military operations involving chemical weapons and other forms of unconventional warfare, civilian, subsequent encounter"
Y37.7X1S,"Military operations involving chemical weapons and other forms of unconventional warfare, civilian, sequela"
Y37.90XA,"Military operations, unspecified, initial encounter"
Y37.90XD,"Military operations, unspecified, subsequent encounter"
Y37.90XS,"Military operations, unspecified, sequela"
Y37.91XA,"Military operations involving unspecified weapon of mass destruction [WMD], initial encounter"
Y37.91XD,"Military operations involving unspecified weapon of mass destruction [WMD], subsequent encounter"
Y37.91XS,"Military operations involving unspecified weapon of mass destruction [WMD], sequela"
Y37.92XA,"Military operations involving friendly fire, initial encounter"
Y37.92XD,"Military operations involving friendly fire, subsequent encounter"
Y37.92XS,"Military operations involving friendly fire, sequela"
Y38.0X1D,"Terrorism involving explosion of marine weapons, public safety official injured, subsequent encounter"
Y38.0X1S,"Terrorism involving explosion of marine weapons, public safety official injured, sequela"
Y38.0X2D,"Terrorism involving explosion of marine weapons, civilian injured, subsequent encounter"
Y38.0X2S,"Terrorism involving explosion of marine weapons, civilian injured, sequela"
Y38.0X3D,"Terrorism involving explosion of marine weapons, terrorist injured, subsequent encounter"
Y38.0X3S,"Terrorism involving explosion of marine weapons, terrorist injured, sequela"
Y38.1X1D,"Terrorism involving destruction of aircraft, public safety official injured, subsequent encounter"
Y38.1X1S,"Terrorism involving destruction of aircraft, public safety official injured, sequela"
Y38.1X2D,"Terrorism involving destruction of aircraft, civilian injured, subsequent encounter"
Y38.1X2S,"Terrorism involving destruction of aircraft, civilian injured, sequela"
Y38.1X3D,"Terrorism involving destruction of aircraft, terrorist injured, subsequent encounter"
Y38.1X3S,"Terrorism involving destruction of aircraft, terrorist injured, sequela"
Y38.2X1D,"Terrorism involving other explosions and fragments, public safety official injured, subsequent encounter"
Y38.2X1S,"Terrorism involving other explosions and fragments, public safety official injured, sequela"
Y38.2X2D,"Terrorism involving other explosions and fragments, civilian injured, subsequent encounter"
Y38.2X2S,"Terrorism involving other explosions and fragments, civilian injured, sequela"
Y38.2X3D,"Terrorism involving other explosions and fragments, terrorist injured, subsequent encounter"
Y38.2X3S,"Terrorism involving other explosions and fragments, terrorist injured, sequela"
Y38.3X1D,"Terrorism involving fires, conflagration and hot substances, public safety official injured, subsequent encounter"
Y38.3X1S,"Terrorism involving fires, conflagration and hot substances, public safety official injured, sequela"
Y38.3X2D,"Terrorism involving fires, conflagration and hot substances, civilian injured, subsequent encounter"
Y38.3X2S,"Terrorism involving fires, conflagration and hot substances, civilian injured, sequela"
Y38.3X3D,"Terrorism involving fires, conflagration and hot substances, terrorist injured, subsequent encounter"
Y38.3X3S,"Terrorism involving fires, conflagration and hot substances, terrorist injured, sequela"
Y38.4X1D,"Terrorism involving firearms, public safety official injured, subsequent encounter"
Y38.4X1S,"Terrorism involving firearms, public safety official injured, sequela"
Y38.4X2D,"Terrorism involving firearms, civilian injured, subsequent encounter"
Y38.4X2S,"Terrorism involving firearms, civilian injured, sequela"
Y38.4X3D,"Terrorism involving firearms, terrorist injured, subsequent encounter"
Y38.4X3S,"Terrorism involving firearms, terrorist injured, sequela"
Y38.5X1D,"Terrorism involving nuclear weapons, public safety official injured, subsequent encounter"
Y38.5X1S,"Terrorism involving nuclear weapons, public safety official injured, sequela"
Y38.5X2D,"Terrorism involving nuclear weapons, civilian injured, subsequent encounter"
Y38.5X2S,"Terrorism involving nuclear weapons, civilian injured, sequela"
Y38.5X3D,"Terrorism involving nuclear weapons, terrorist injured, subsequent encounter"
Y38.5X3S,"Terrorism involving nuclear weapons, terrorist injured, sequela"
Y38.6X1D,"Terrorism involving biological weapons, public safety official injured, subsequent encounter"
Y38.6X1S,"Terrorism involving biological weapons, public safety official injured, sequela"
Y38.6X2D,"Terrorism involving biological weapons, civilian injured, subsequent encounter"
Y38.6X2S,"Terrorism involving biological weapons, civilian injured, sequela"
Y38.6X3D,"Terrorism involving biological weapons, terrorist injured, subsequent encounter"
Y38.6X3S,"Terrorism involving biological weapons, terrorist injured, sequela"
Y38.7X1D,"Terrorism involving chemical weapons, public safety official injured, subsequent encounter"
Y38.7X1S,"Terrorism involving chemical weapons, public safety official injured, sequela"
Y38.7X2D,"Terrorism involving chemical weapons, civilian injured, subsequent encounter"
Y38.7X2S,"Terrorism involving chemical weapons, civilian injured, sequela"
Y38.7X3D,"Terrorism involving chemical weapons, terrorist injured, subsequent encounter"
Y38.7X3S,"Terrorism involving chemical weapons, terrorist injured, sequela"
Y38.80XD,"Terrorism involving unspecified means, subsequent encounter"
Y38.80XS,"Terrorism involving unspecified means, sequela"
Y38.811D,"Terrorism involving suicide bomber, public safety official injured, subsequent encounter"
Y38.811S,"Terrorism involving suicide bomber, public safety official injured, sequela"
Y38.812D,"Terrorism involving suicide bomber, civilian injured, subsequent encounter"
Y38.812S,"Terrorism involving suicide bomber, civilian injured, sequela"
Y38.891D,"Terrorism involving other means, public safety official injured, subsequent encounter"
Y38.891S,"Terrorism involving other means, public safety official injured, sequela"
Y38.892D,"Terrorism involving other means, civilian injured, subsequent encounter"
Y38.892S,"Terrorism involving other means, civilian injured, sequela"
Y38.893D,"Terrorism involving other means, terrorist injured, subsequent encounter"
Y38.893S,"Terrorism involving other means, terrorist injured, sequela"
Y38.9X1D,"Terrorism, secondary effects, public safety official injured, subsequent encounter"
Y38.9X1S,"Terrorism, secondary effects, public safety official injured, sequela"
Y38.9X2D,"Terrorism, secondary effects, civilian injured, subsequent encounter"
Y38.9X2S,"Terrorism, secondary effects, civilian injured, sequela"
Y92.000,Kitchen of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.001,Dining room of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.002,Bathroom of unspecified non-institutional (private) residence single-family (private) house as the place of occurrence of the external cause
Y92.003,Bedroom of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.007,Garden or yard of unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.008,Other place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
Y92.010,Kitchen of single-family (private) house as the place of occurrence of the external cause
Y92.011,Dining room of single-family (private) house as the place of occurrence of the external cause
Y92.012,Bathroom of single-family (private) house as the place of occurrence of the external cause
Y92.013,Bedroom of single-family (private) house as the place of occurrence of the external cause
Y92.014,Private driveway to single-family (private) house as the place of occurrence of the external cause
Y92.015,Private garage of single-family (private) house as the place of occurrence of the external cause
Y92.016,Swimming-pool in single-family (private) house or garden as the place of occurrence of the external cause
Y92.017,Garden or yard in single-family (private) house as the place of occurrence of the external cause
Y92.018,Other place in single-family (private) house as the place of occurrence of the external cause
Y92.019,Unspecified place in single-family (private) house as the place of occurrence of the external cause
Y92.020,Kitchen in mobile home as the place of occurrence of the external cause
Y92.021,Dining room in mobile home as the place of occurrence of the external cause
Y92.022,Bathroom in mobile home as the place of occurrence of the external cause
Y92.023,Bedroom in mobile home as the place of occurrence of the external cause
Y92.024,Driveway of mobile home as the place of occurrence of the external cause
Y92.025,Garage of mobile home as the place of occurrence of the external cause
Y92.026,Swimming-pool of mobile home as the place of occurrence of the external cause
Y92.027,Garden or yard of mobile home as the place of occurrence of the external cause
Y92.028,Other place in mobile home as the place of occurrence of the external cause
Y92.029,Unspecified place in mobile home as the place of occurrence of the external cause
Y92.030,Kitchen in apartment as the place of occurrence of the external cause
Y92.031,Bathroom in apartment as the place of occurrence of the external cause
Y92.032,Bedroom in apartment as the place of occurrence of the external cause
Y92.038,Other place in apartment as the place of occurrence of the external cause
Y92.039,Unspecified place in apartment as the place of occurrence of the external cause
Y92.040,Kitchen in boarding-house as the place of occurrence of the external cause
Y92.041,Bathroom in boarding-house as the place of occurrence of the external cause
Y92.042,Bedroom in boarding-house as the place of occurrence of the external cause
Y92.043,Driveway of boarding-house as the place of occurrence of the external cause
Y92.044,Garage of boarding-house as the place of occurrence of the external cause
Y92.045,Swimming-pool of boarding-house as the place of occurrence of the external cause
Y92.046,Garden or yard of boarding-house as the place of occurrence of the external cause
Y92.048,Other place in boarding-house as the place of occurrence of the external cause
Y92.049,Unspecified place in boarding-house as the place of occurrence of the external cause
Y92.090,Kitchen in other non-institutional residence as the place of occurrence of the external cause
Y92.091,Bathroom in other non-institutional residence as the place of occurrence of the external cause
Y92.092,Bedroom in other non-institutional residence as the place of occurrence of the external cause
Y92.093,Driveway of other non-institutional residence as the place of occurrence of the external cause
Y92.094,Garage of other non-institutional residence as the place of occurrence of the external cause
Y92.095,Swimming-pool of other non-institutional residence as the place of occurrence of the external cause
Y92.096,Garden or yard of other non-institutional residence as the place of occurrence of the external cause
Y92.098,Other place in other non-institutional residence as the place of occurrence of the external cause
Y92.099,Unspecified place in other non-institutional residence as the place of occurrence of the external cause
Y92.10,Unspecified residential institution as the place of occurrence of the external cause
Y92.110,Kitchen in children's home and orphanage as the place of occurrence of the external cause
Y92.111,Bathroom in children's home and orphanage as the place of occurrence of the external cause
Y92.112,Bedroom in children's home and orphanage as the place of occurrence of the external cause
Y92.113,Driveway of children's home and orphanage as the place of occurrence of the external cause
Y92.114,Garage of children's home and orphanage as the place of occurrence of the external cause
Y92.115,Swimming-pool of children's home and orphanage as the place of occurrence of the external cause
Y92.116,Garden or yard of children's home and orphanage as the place of occurrence of the external cause
Y92.118,Other place in children's home and orphanage as the place of occurrence of the external cause
Y92.119,Unspecified place in children's home and orphanage as the place of occurrence of the external cause
Y92.120,Kitchen in nursing home as the place of occurrence of the external cause
Y92.121,Bathroom in nursing home as the place of occurrence of the external cause
Y92.122,Bedroom in nursing home as the place of occurrence of the external cause
Y92.123,Driveway of nursing home as the place of occurrence of the external cause
Y92.124,Garage of nursing home as the place of occurrence of the external cause
Y92.125,Swimming-pool of nursing home as the place of occurrence of the external cause
Y92.126,Garden or yard of nursing home as the place of occurrence of the external cause
Y92.128,Other place in nursing home as the place of occurrence of the external cause
Y92.129,Unspecified place in nursing home as the place of occurrence of the external cause
Y92.130,Kitchen on military base as the place of occurrence of the external cause
Y92.131,Mess hall on military base as the place of occurrence of the external cause
Y92.133,Barracks on military base as the place of occurrence of the external cause
Y92.135,Garage on military base as the place of occurrence of the external cause
Y92.136,Swimming-pool on military base as the place of occurrence of the external cause
Y92.137,Garden or yard on military base as the place of occurrence of the external cause
Y92.138,Other place on military base as the place of occurrence of the external cause
Y92.139,Unspecified place military base as the place of occurrence of the external cause
Y92.140,Kitchen in prison as the place of occurrence of the external cause
Y92.141,Dining room in prison as the place of occurrence of the external cause
Y92.142,Bathroom in prison as the place of occurrence of the external cause
Y92.143,Cell of prison as the place of occurrence of the external cause
Y92.146,Swimming-pool of prison as the place of occurrence of the external cause
Y92.147,Courtyard of prison as the place of occurrence of the external cause
Y92.148,Other place in prison as the place of occurrence of the external cause
Y92.149,Unspecified place in prison as the place of occurrence of the external cause
Y92.150,Kitchen in reform school as the place of occurrence of the external cause
Y92.151,Dining room in reform school as the place of occurrence of the external cause
Y92.152,Bathroom in reform school as the place of occurrence of the external cause
Y92.153,Bedroom in reform school as the place of occurrence of the external cause
Y92.154,Driveway of reform school as the place of occurrence of the external cause
Y92.155,Garage of reform school as the place of occurrence of the external cause
Y92.156,Swimming-pool of reform school as the place of occurrence of the external cause
Y92.157,Garden or yard of reform school as the place of occurrence of the external cause
Y92.158,Other place in reform school as the place of occurrence of the external cause
Y92.159,Unspecified place in reform school as the place of occurrence of the external cause
Y92.160,Kitchen in school dormitory as the place of occurrence of the external cause
Y92.161,Dining room in school dormitory as the place of occurrence of the external cause
Y92.162,Bathroom in school dormitory as the place of occurrence of the external cause
Y92.163,Bedroom in school dormitory as the place of occurrence of the external cause
Y92.168,Other place in school dormitory as the place of occurrence of the external cause
Y92.169,Unspecified place in school dormitory as the place of occurrence of the external cause
Y92.190,Kitchen in other specified residential institution as the place of occurrence of the external cause
Y92.191,Dining room in other specified residential institution as the place of occurrence of the external cause
Y92.192,Bathroom in other specified residential institution as the place of occurrence of the external cause
Y92.193,Bedroom in other specified residential institution as the place of occurrence of the external cause
Y92.194,Driveway of other specified residential institution as the place of occurrence of the external cause
Y92.195,Garage of other specified residential institution as the place of occurrence of the external cause
Y92.196,Pool of other specified residential institution as the place of occurrence of the external cause
Y92.197,Garden or yard of other specified residential institution as the place of occurrence of the external cause
Y92.198,Other place in other specified residential institution as the place of occurrence of the external cause
Y92.199,Unspecified place in other specified residential institution as the place of occurrence of the external cause
Y92.210,Daycare center as the place of occurrence of the external cause
Y92.211,Elementary school as the place of occurrence of the external cause
Y92.212,Middle school as the place of occurrence of the external cause
Y92.213,High school as the place of occurrence of the external cause
Y92.214,College as the place of occurrence of the external cause
Y92.215,Trade school as the place of occurrence of the external cause
Y92.218,Other school as the place of occurrence of the external cause
Y92.219,Unspecified school as the place of occurrence of the external cause
Y92.22,Religious institution as the place of occurrence of the external cause
Y92.240,Courthouse as the place of occurrence of the external cause
Y92.241,Library as the place of occurrence of the external cause
Y92.242,Post office as the place of occurrence of the external cause
Y92.243,City hall as the place of occurrence of the external cause
Y92.248,Other public administrative building as the place of occurrence of the external cause
Y92.250,Art Gallery as the place of occurrence of the external cause
Y92.251,Museum as the place of occurrence of the external cause
Y92.252,Music hall as the place of occurrence of the external cause
Y92.253,Opera house as the place of occurrence of the external cause
Y92.254,Theater (live) as the place of occurrence of the external cause
Y92.258,Other cultural public building as the place of occurrence of the external cause
Y92.26,Movie house or cinema as the place of occurrence of the external cause
Y92.29,Other specified public building as the place of occurrence of the external cause
Y92.310,Basketball court as the place of occurrence of the external cause
Y92.311,Squash court as the place of occurrence of the external cause
Y92.312,Tennis court as the place of occurrence of the external cause
Y92.318,Other athletic court as the place of occurrence of the external cause
Y92.320,Baseball field as the place of occurrence of the external cause
Y92.321,Football field as the place of occurrence of the external cause
Y92.322,Soccer field as the place of occurrence of the external cause
Y92.328,Other athletic field as the place of occurrence of the external cause
Y92.330,Ice skating rink (indoor) (outdoor) as the place of occurrence of the external cause
Y92.331,Roller skating rink as the place of occurrence of the external cause
Y92.34,Swimming pool (public) as the place of occurrence of the external cause
Y92.39,Other specified sports and athletic area as the place of occurrence of the external cause
Y92.410,Unspecified street and highway as the place of occurrence of the external cause
Y92.411,Interstate highway as the place of occurrence of the external cause
Y92.412,Parkway as the place of occurrence of the external cause
Y92.413,State road as the place of occurrence of the external cause
Y92.414,Local residential or business street as the place of occurrence of the external cause
Y92.415,Exit ramp or entrance ramp of street or highway as the place of occurrence of the external cause
Y92.480,Sidewalk as the place of occurrence of the external cause
Y92.481,Parking lot as the place of occurrence of the external cause
Y92.482,Bike path as the place of occurrence of the external cause
Y92.488,Other paved roadways as the place of occurrence of the external cause
Y92.510,Bank as the place of occurrence of the external cause
Y92.511,Restaurant or cafe as the place of occurrence of the external cause
Y92.512,"Supermarket, store or market as the place of occurrence of the external cause"
Y92.513,Shop (commercial) as the place of occurrence of the external cause
Y92.520,Airport as the place of occurrence of the external cause
Y92.521,Bus station as the place of occurrence of the external cause
Y92.522,Railway station as the place of occurrence of the external cause
Y92.523,Highway rest stop as the place of occurrence of the external cause
Y92.524,Gas station as the place of occurrence of the external cause
Y92.531,Health care provider office as the place of occurrence of the external cause
Y92.532,Urgent care center as the place of occurrence of the external cause
Y92.59,Other trade areas as the place of occurrence of the external cause
Y92.61,Building [any] under construction as the place of occurrence of the external cause
Y92.62,Dock or shipyard as the place of occurrence of the external cause
Y92.63,Factory as the place of occurrence of the external cause
Y92.64,Mine or pit as the place of occurrence of the external cause
Y92.65,Oil rig as the place of occurrence of the external cause
Y92.69,Other specified industrial and construction area as the place of occurrence of the external cause
Y92.71,Barn as the place of occurrence of the external cause
Y92.72,Chicken coop as the place of occurrence of the external cause
Y92.73,Farm field as the place of occurrence of the external cause
Y92.74,Orchard as the place of occurrence of the external cause
Y92.79,Other farm location as the place of occurrence of the external cause
Y92.810,Car as the place of occurrence of the external cause
Y92.811,Bus as the place of occurrence of the external cause
Y92.812,Truck as the place of occurrence of the external cause
Y92.813,Airplane as the place of occurrence of the external cause
Y92.814,Boat as the place of occurrence of the external cause
Y92.815,Train as the place of occurrence of the external cause
Y92.816,Subway car as the place of occurrence of the external cause
Y92.818,Other transport vehicle as the place of occurrence of the external cause
Y92.820,Desert as the place of occurrence of the external cause
Y92.821,Forest as the place of occurrence of the external cause
Y92.828,Other wilderness area as the place of occurrence of the external cause
Y92.830,Public park as the place of occurrence of the external cause
Y92.831,Amusement park as the place of occurrence of the external cause
Y92.832,Beach as the place of occurrence of the external cause
Y92.833,Campsite as the place of occurrence of the external cause
Y92.834,Zoological garden (Zoo) as the place of occurrence of the external cause
Y92.838,Other recreation area as the place of occurrence of the external cause
Y92.84,Military training ground as the place of occurrence of the external cause
Y92.85,Railroad track as the place of occurrence of the external cause
Y92.86,Slaughter house as the place of occurrence of the external cause
Y92.89,Other specified places as the place of occurrence of the external cause
Y92.9,Unspecified place or not applicable
Y93.12,"Activity, springboard and platform diving"
Y93.13,"Activity, water polo"
Y93.14,"Activity, water aerobics and water exercise"
Y93.15,"Activity, underwater diving and snorkeling"
Y93.16,"Activity, rowing, canoeing, kayaking, rafting and tubing"
Y93.17,"Activity, water skiing and wake boarding"
Y93.18,"Activity, surfing, windsurfing and boogie boarding"
Y93.19,"Activity, other involving water and watercraft"
Y93.21,"Activity, ice skating"
Y93.22,"Activity, ice hockey"
Y93.23,"Activity, snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing"
Y93.24,"Activity, cross country skiing"
Y93.29,"Activity, other involving ice and snow"
Y93.31,"Activity, mountain climbing, rock climbing and wall climbing"
Y93.32,"Activity, rappelling"
Y93.33,"Activity, BASE jumping"
Y93.34,"Activity, bungee jumping"
Y93.35,"Activity, hang gliding"
Y93.39,"Activity, other involving climbing, rappelling and jumping off"
Y93.41,"Activity, dancing"
Y93.42,"Activity, yoga"
Y93.43,"Activity, gymnastics"
Y93.44,"Activity, trampolining"
Y93.45,"Activity, cheerleading"
Y93.49,"Activity, other involving dancing and other rhythmic movements"
Y93.51,"Activity, roller skating (inline) and skateboarding"
Y93.52,"Activity, horseback riding"
Y93.53,"Activity, golf"
Y93.54,"Activity, bowling"
Y93.55,"Activity, bike riding"
Y93.56,"Activity, jumping rope"
Y93.57,"Activity, non-running track and field events"
Y93.59,"Activity, other involving other sports and athletics played individually"
Y93.61,"Activity, american tackle football"
Y93.62,"Activity, american flag or touch football"
Y93.63,"Activity, rugby"
Y93.64,"Activity, baseball"
Y93.65,"Activity, lacrosse and field hockey"
Y93.66,"Activity, soccer"
Y93.67,"Activity, basketball"
Y93.68,"Activity, volleyball (beach) (court)"
Y93.6A,"Activity, physical games generally associated with school recess, summer camp and children"
Y93.69,"Activity, other involving other sports and athletics played as a team or group"
Y93.71,"Activity, boxing"
Y93.72,"Activity, wrestling"
Y93.73,"Activity, racquet and hand sports"
Y93.74,"Activity, frisbee"
Y93.75,"Activity, martial arts"
Y93.79,"Activity, other specified sports and athletics"
Y93.A1,"Activity, exercise machines primarily for cardiorespiratory conditioning"
Y93.A2,"Activity, calisthenics"
Y93.A3,"Activity, aerobic and step exercise"
Y93.A4,"Activity, circuit training"
Y93.A5,"Activity, obstacle course"
